name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;726;0;887;3071;1253;3071;1276;0
header;175;151;175;184;1830;184;1830;151
B;968;522;968;551;995;551;995;522
B;823;602;823;625;837;625;837;602
C;842;967;842;991;857;991;857;967
A;811;999;811;1021;815;1021;815;999
C;937;1181;937;1203;952;1203;952;1181
A;1058;1259;1058;1264;1063;1264;1063;1259
A;824;1370;824;1386;835;1386;835;1370
C;951;2455;951;2483;969;2483;969;2455
A;948;2566;948;2571;952;2571;952;2566
C;941;2670;941;2692;959;2692;959;2670
A;1063;2747;1063;2751;1068;2751;1068;2747
A;981;2749;981;2755;984;2755;984;2749
A;1051;2778;1051;2783;1055;2783;1055;2778
