name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;698;0;744;3075;1133;3075;1133;0
header;191;189;191;222;1810;222;1810;189
A;942;61;942;62;943;62;943;61
A;989;248;989;275;1013;275;1013;248
A;704;256;704;261;709;261;709;256
B;992;927;992;956;1013;956;1013;927
A;760;1308;760;1312;764;1312;764;1308
A;731;1439;731;1458;736;1458;736;1439
A;1006;1504;1006;1512;1015;1512;1015;1504
A;722;1544;722;1550;728;1550;728;1544
C;989;1592;989;1619;1009;1619;1009;1592
A;1029;1841;1029;1843;1030;1843;1030;1841
A;732;1854;732;1854;732;1854;732;1854
A;1067;2237;1067;2238;1069;2238;1069;2237
D;991;2263;991;2289;1012;2289;1012;2263
A;1045;2300;1045;2326;1060;2326;1060;2300
A;852;2420;852;2420;852;2420;852;2420
A;1045;2527;1045;2552;1060;2552;1060;2527
B;1082;2758;1082;2784;1088;2784;1088;2758
D;1095;2758;1095;2783;1111;2783;1111;2758
A;1041;2759;1041;2784;1057;2784;1057;2759
A;861;2944;861;2944;861;2944;861;2944
